Title, Number_of_characters, Description, Gender, doNotUse, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Phil Hartman, 1, NA, NA, 1948-09-24, 1948, 1998-05-28, 1998, NA, Canadian Americans, NA, NA, NA, 1975, NA, NA, California State University Northridge
Phil Hester (comics), 8, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Phil Jimenez, 8, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Phil Seuling, 1, NA, NA, 1934-01-20, 1934, 1984-08-21, 1984, NA, NA, NA, NA, NA, NA, NA, NA, NA
Phil Winslade, 2, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Philip Francis Nowlan, 2, NA, NA, 1888-11-13, 1888, 1940-02-01, NA, NA, United States, NA, NA, NA, 1928, Science fiction, Armageddon 2419 A.D., NA
Philip K. Dick, 1, NA, NA, 1928-12-16, 1928, 1982-03-02, NA, NA, Americans, NA, NA, NA, 1952, Science fiction and Philosophical fiction and Paranoid fiction, A Scanner Darkly and Do Androids Dream of Electric Sheep? and Ubik and The Man in the High Castle and Flow My Tears the Policeman Said and VALIS trilogy and Second Variety, NA
Philip Pullman, 5, NA, NA, 1946-10-19, 1946, NA, NA, NA, NA, NA, NA, NA, NA, Fantasy, The Good Man Jesus and the Scoundrel Christ and His Dark Materials, Exeter College Oxford
Philip Wylie, 1, NA, NA, 1902-04-12, 1902, 1971-10-25, NA, NA, NA, NA, NA, NA, NA, NA, When Worlds Collide, NA
Philippe Druillet, 1, NA, NA, NA, NA, NA, NA, NA, French people, NA, NA, NA, NA, NA, NA, NA
Philippe Geluck, 1, NA, NA, 1954-05-07, 1954, NA, NA, NA, Belgium, NA, NA, NA, NA, NA, NA, NA
Pierre Choderlos de Laclos, 1, NA, NA, 1741-10-18, 1741, 1803-09-05, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Pop Mhan, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Prayoon Chanyavongs, 1, NA, NA, 1915-11-17, 1915, 1992-12-03, 1992, NA, NA, NA, NA, NA, NA, NA, NA, NA
Pres Romanillos, 1, American animator, NA, 1963-01-11, 1963, 2010-07-17, 2010, NA, NA, NA, NA, NA, 1989, NA, NA, NA
Princess Projectra, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Quentin Tarantino, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, NA
Question (comics), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Riyoko Ikeda, 1, NA, NA, NA, NA, NA, NA, NA, Japanese people, NA, NA, NA, NA, NA, NA, NA
Roald Dahl, 6, NA, NA, 1916-09-13, 1916, 1990-11-23, NA, NA, NA, NA, NA, NA, 1942, Horror and terror, NA, NA
Rob Grant, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1982, Comedy, NA, NA
Rob Liefeld, 38, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Rob McElhenney, 6, NA, NA, 1977-04-14, 1977, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Rob Thomas (writer), 8, NA, NA, 1965-08-15, 1965, NA, NA, NA, NA, NA, NA, NA, 1996, NA, Veronica Mars (film), NA
Rob Williams (comics), 1, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Rob Worley, 1, American writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robbie Morrison, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert A. Heinlein, 2, NA, NA, 1907-07-07, 1907, 1988-05-08, NA, NA, Americans, NA, NA, NA, 1939, Science fiction and Fantasy, NA, NA
Robert Anton Wilson, 1, NA, NA, 1932-01-18, 1932, 2007-01-11, 2007, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert B. Parker, 2, NA, NA, 1932-09-17, 1932, 2010-01-18, NA, NA, United States, NA, NA, NA, 1974, Crime fiction and Western fiction, NA, NA
Robert Bernstein (comics), 13, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Robert C. Cooper, 6, NA, NA, 1968-10-14, 1968, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Robert Crumb, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert D. San Souci, 1, Children's writer, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA
Robert E. Howard, 11, NA, NA, 1906-01-22, 1906, 1936-06-11, NA, NA, NA, NA, NA, NA, NA, Boxing and Horror fiction and Historical fiction and Western fiction and Sword and sorcery, Conan the Barbarian and The Hour of the Dragon and Worms of the Earth and Pigeons from Hell and Solomon Kane, NA
Robert Kanigher, 36, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert King (writer), 1, American television producer and writer, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Kinoshita, 1, American artist, NA, 1914-02-24, 1914, 2014-12-09, 2014, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Kirkman, 54, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Kurtzman, 4, American film director, NA, 1964-11-25, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert L. May, 1, American writer, NA, 1905-07-27, 1905, 1976-08-10, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert L. Washington III, 4, American comic writer, NA, 1964-11-29, 1964, 2012-06-07, 2012, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Lips, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Louis Stevenson, 8, NA, NA, 1850-11-13, 1850, 1894-12-03, NA, NA, NA, NA, NA, NA, NA, NA, Treasure Island and Kidnapped (novel) and Strange Case of Dr Jekyll and Mr Hyde and A Childs Garden of Verses, NA
Robert Ludlum, 1, NA, NA, 1927-05-25, 1927, 2001-03-12, NA, NA, NA, NA, NA, NA, NA, Thriller (genre) and Mystery fiction and Spy fiction, Bourne (novel series), Wesleyan University
Robert Mark Kamen, 2, American screenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1981, NA, NA, NA
Robert Maxwell (producer), 8, Radio and television producer screenwriter, NA, 1908-01-31, 1908, 1971-02-03, 1971, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert McKimson, 10, NA, NA, 1910-10-13, 1910, 1977-09-29, 1977, NA, NA, NA, NA, NA, 1928, NA, NA, NA
Robert Muchamore, 8, NA, NA, 1972-12-26, 1972, NA, NA, NA, NA, NA, NA, NA, NA, Thriller (genre) and Adventure fiction and Spy fiction, Hendersons Boys and CHERUB, NA
Robert N. Skir, 1, American animator, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Nixon (comics), 1, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Robert Rodat, 2, NA, NA, NA, 1953, NA, NA, NA, NA, NA, NA, NA, 1992, NA, NA, NA
Robert Rodi, 1, Writer, NA, NA, 1956, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Rodriguez, 4, NA, NA, 1968-06-20, 1968, NA, NA, NA, NA, NA, NA, NA, 1991, NA, NA, University of Texas at Austin and Moody College of Communication
Robert Roosevelt, 2, NA, NA, 1829-08-07, 1829, 1906-06-14, NA, NA, NA, NA, New York's 4th congressional district, NA, NA, NA, NA, NA
Robert Shea, 1, NA, NA, 1933-02-14, 1933, 1994-03-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Siodmak, 1, NA, NA, 1900-08-08, 1900, 1973-03-10, 1973, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Smigel, 1, NA, NA, 1960-02-07, 1960, NA, NA, NA, NA, NA, NA, NA, NA, Insult comedy, NA, NA
Robert Tapert, 9, NA, NA, 1955-05-14, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Robert Townsend (actor), 1, NA, NA, 1957-02-06, 1957, NA, NA, NA, NA, NA, NA, NA, 1975, NA, NA, Illinois State University and Austin Community Academy High School
Robert Velter, 1, NA, NA, NA, NA, NA, NA, NA, France, NA, NA, NA, NA, NA, NA, NA
Robert Weinberg, 1, NA, NA, 1942-11-11, 1942, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Massachusetts Institute of Technology
Roberto Fontanarrosa, 2, NA, NA, 1944-11-26, 1944, 2007-07-19, 2007, NA, NA, NA, NA, NA, 1968, NA, NA, NA
Roberto Orci, 1, NA, NA, 1973-07-20, 1973, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, University of Texas at Austin
Robin Green, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, The Sopranos and Blue Bloods (TV series), NA
Rocke Mastroserio, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Rockne S. O'Bannon, 4, NA, NA, 1964-01-12, 1964, NA, NA, NA, NA, NA, NA, NA, NA, Science fiction and Television and Film, Farscape and SeaQuest DSV and Alien Nation (film), NA
Rocky Morton, 1, British film and television director, NA, NA, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rod Hull, 1, NA, NA, 1935-08-13, 1935, 1999-03-17, 1999, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roderick Thorp, 1, NA, NA, 1936-09-01, 1936, 1999-04-28, NA, NA, NA, NA, NA, NA, NA, Crime fiction, NA, NA
Roger Allers, 1, NA, NA, NA, 1949, NA, NA, NA, NA, NA, NA, NA, 1970, NA, NA, NA
Roger Avary, 1, NA, NA, 1965-08-23, 1965, NA, NA, NA, NA, NA, NA, NA, 1992, NA, NA, NA
Roger Cruz, 4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roger Kumble, 1, Film director screenwriter, NA, 1966-05-28, 1966, NA, NA, NA, NA, NA, NA, NA, 1994, NA, NA, NA
Roger McKenzie (comics), 6, American comic writer, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Roger Slifer, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roger Stern, 26, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roger Sweet, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Roland Emmerich, 2, NA, NA, 1955-11-10, 1955, NA, NA, NA, NA, NA, NA, NA, 1979, NA, NA, University of Television and Film Munich
Romeo Tanghal, 4, NA, NA, NA, NA, NA, NA, NA, Filipinos, NA, NA, NA, NA, NA, NA, NA
Ron Clements, 8, NA, NA, 1953-04-25, 1953, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ron Cowen, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ron Frenz, 22, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ron Garney, 5, Comic book artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ron Leavitt, 1, American screenwriter, NA, 1947-11-07, 1947, 2008-02-10, 2008, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ron Lim, 19, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ron Marz, 13, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ron Randall, 1, Comic book artist, NA, 1956-11-22, 1956, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ron Smith (comics), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ron Wilson (comics), 11, American comics artist, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ronald Shusett, 2, American screenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rorschach (comics), 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roseanne Barr, 2, NA, NA, 1952-11-03, 1952, NA, NA, NA, NA, NA, NA, NA, 1985, NA, NA, NA
Ross Andru, 30, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Roy Barraclough, 1, NA, NA, 1935-07-12, 1935, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roy Clarke, 3, NA, NA, 1930-01-28, 1930, NA, NA, NA, NA, NA, NA, NA, 1968, NA, Last of the Summer Wine and Keeping Up Appearances and Open All Hours and First of the Summer Wine and The Magnificent Evans and Aint Misbehavin (TV series) and The Misfit (TV series) and Rosie (TV series) and Potter (TV series) and Still Open All Hours and The Wanderer (1994 TV series) and Manns_Best_Friends, NA
Roy Thomas, 165, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Roy Thomas (artist), 1, Canadian painter, NA, NA, 1949, 2004-11-13, 2004, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Ruben Moreira, 3, Puerto Rican comic artist, NA, 1922-07-27, 1922, 1984-05-21, 1984, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rudd Weatherwax, 2, NA, NA, 1907-09-23, 1907, 1985-02-25, 1985, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rudyard Kipling, 6, NA, NA, 1865-12-30, 1865, 1936-01-18, NA, NA, NA, NA, NA, NA, NA, Science fiction and Childrens literature, Kim (novel) and The Jungle Book and Just So Stories and Captains Courageous and If— and Gunga Din and The White Mans Burden, NA
Rufus Dayglo, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rumiko Takahashi, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rune Andréasson, 1, NA, NA, NA, NA, NA, NA, NA, Swedes, NA, NA, NA, NA, NA, NA, NA
Russ Heath, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Russ Manning, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Russell T Davies, 1, NA, NA, 1963-04-27, 1963, NA, NA, NA, NA, NA, NA, NA, 1986, Science fiction and Drama, Doctor Who and Queer as Folk (UK TV series) and The Second Coming (TV serial) and Bob & Rose and Casanova (2005 TV serial) and Torchwood and The Sarah Jane Adventures and Cucumber (TV series) and Banana (TV series), Worcester College Oxford
Ruth Handler, 4, NA, NA, 1916-11-04, 1916, 2002-04-27, 2002, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ryan Coogler, 1, Film director, NA, 1986-05-23, 1986, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, USC School of Cinematic Arts and California State University Sacramento
Ryan Murphy (writer), 37, NA, NA, 1965-11-30, 1965, NA, NA, NA, NA, NA, NA, NA, NA, NA, Nip/Tuck and Glee (TV series) and American Horror Story and Scream Queens (2015 TV series), Indiana University Bloomington
Ryan Ottley, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ryan Sook, 4, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ryan Stegman, 2, comic artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ryōgo Narita, 1, NA, NA, NA, NA, NA, NA, NA, NA, Japan, NA, NA, NA, NA, NA, NA
Ram Waeerkar, 1, Comics artist, NA, NA, NA, NA, 2003, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ramona Fradon, 17, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ray Gill, 1, English footballer, NA, 1924-12-08, 1924, 2001-09-17, 2001, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ray Romano, 1, NA, NA, 1957-12-21, 1957, NA, NA, NA, NA, NA, NA, NA, NA, Observational comedy and Ribaldry, NA, NA
Raymond Chandler, 1, NA, NA, 1888-07-23, 1888, 1959-03-26, NA, NA, NA, NA, NA, NA, 1933, Crime fiction and Suspense and Hardboiled, NA, NA
Reece Shearsmith, 1, NA, NA, 1969-08-27, 1969, NA, NA, NA, NA, NA, NA, NA, 1995, NA, NA, NA
Reed Crandall, 1, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Reg Watson, 3, NA, NA, NA, 1926, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Reginald Hudlin, 4, NA, NA, 1961-12-15, 1961, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Reilly Brown, 1, Comic book artist writer, NA, 1981-08-05, 1981, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
René Echevarria, 7, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1990, NA, NA, Duke University
René Goscinny, 4, NA, NA, NA, NA, NA, NA, NA, French people, NA, NA, NA, NA, NA, NA, NA
Rex Stout, 1, NA, NA, 1886-12-01, 1886, 1975-10-27, NA, NA, NA, NA, NA, NA, NA, Detective fiction, Rex Stout bibliography, NA
Rhode Montijo, 1, Comic artist, NA, NA, 1973, NA, NA, NA, Mexican Americans, NA, NA, NA, NA, NA, NA, NA
Ric Estrada, 2, NA, NA, NA, NA, NA, NA, NA, Cuban Americans, NA, NA, NA, NA, NA, NA, NA
Rich Buckler, 23, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Rich Correll, 2, NA, NA, 1948-05-14, 1948, NA, NA, NA, NA, NA, NA, NA, 1960, NA, NA, NA
Richard Ayoade, 2, NA, NA, 1977-06-12, 1977, NA, NA, NA, NA, NA, NA, NA, 1998, NA, NA, NA
Richard Bennett Lamas, 1, Uruguayan artist, NA, 1968-04-25, 1968, NA, NA, NA, Uruguay, NA, NA, NA, NA, NA, NA, NA
Richard Burton (comics), 1, British comic editor, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Richard Case, 3, Americancomics artist, NA, NA, 1964, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Richard Comely, 1, Artist Creator Entrepreneur, NA, 1953-10-09, 1953, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Richard Corben, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Richard Curtis, 1, NA, NA, 1956-11-08, 1956, NA, NA, NA, NA, NA, NA, NA, 1979, NA, NA, Christ Church Oxford and Harrow School and Papplewick School
Richard Dominguez, 6, Comic artist, NA, 1960-09-22, 1960, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Richard Donner, 1, NA, NA, 1930-04-24, 1930, NA, NA, NA, NA, NA, NA, NA, 1960, NA, NA, NA
Richard F. Outcault, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Richard Howell (comics), 1, Comic book artist, NA, 1955-11-16, 1955, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Richard Levinson, 2, NA, NA, 1934-08-07, 1934, 1987-03-12, 1987, NA, NA, NA, NA, NA, NA, NA, NA, NA
Richard Lipez, 1, American writer, NA, 1938-11-30, 1938, NA, NA, NA, NA, NA, NA, NA, NA, Detective fiction and Journalist and Columnist and Mystery fiction, NA, NA
Richard O'Brien, 1, NA, NA, 1942-03-25, 1942, NA, NA, NA, NA, NA, NA, NA, 1965, NA, The Rocky Horror Show and The Crystal Maze and Phineas and Ferb, NA
Richard O'Donnell (playwright), 1, American actor and writer, NA, 1956-06-17, 1956, NA, NA, NA, NA, NA, NA, NA, 1976, NA, NA, NA
Rick Hoberg, 2, American comic artist, NA, 1952-07-07, 1952, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Rick Leonardi, 9, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Rick Moranis, 1, NA, NA, 1953-04-18, 1953, NA, NA, NA, NA, NA, NA, NA, 1976, NA, NA, NA
Rick Remender, 4, Comic writer, NA, 1973-02-06, 1973, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Rick Riordan, 1, NA, NA, 1964-06-05, 1964, NA, NA, NA, NA, NA, NA, NA, NA, Detective fiction and Mythology and Fantasy, The Maze of Bones and Percy Jackson & the Olympians and The Kane Chronicles and The Heroes of Olympus, NA
Rick Veitch, 3, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ricky Gervais, 4, NA, NA, 1961-06-25, 1961, NA, NA, NA, NA, NA, NA, NA, NA, Musical theatre and Satire and Black comedy and Cringe comedy and Observational comedy and Insult comedy, NA, NA
Ritwik Ghatak, 1, NA, NA, 1925-11-04, 1925, 1976-02-06, NA, NA, NA, NA, NA, NA, NA, NA, Meghe Dhaka Tara and Titash Ekti Nadir Naam and Nagarik and Subarnarekha (film) and Ajantrik, NA
R. L. Stine, 1, NA, NA, 1943-10-08, 1943, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Childrens literature and Genre fiction and Thriller (genre) and Fantasy literature and Comedy and Gothic fiction and Dark fantasy and Supernatural fiction, NA, NA
R. M. Fink, 1, Screenwriter, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rachel Dratch, 1, NA, NA, 1966-02-22, 1966, NA, NA, NA, NA, NA, NA, NA, 1994, NA, NA, Dartmouth College
Rachel Pollack, 1, NA, NA, 1945-08-17, 1945, NA, NA, NA, NA, NA, NA, Jews, NA, NA, NA, Claremont Graduate University and New York University
Rafael Kayanan, 3, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Rafael Navarro, 1, Comic artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Rags Morales, 5, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Rajkumar Hirani, 1, Indian film director, NA, 1962-11-20, 1962, NA, NA, Sindhis, NA, NA, NA, NA, NA, NA, NA, NA
Ralph Bakshi, 1, NA, NA, 1938-10-29, 1938, NA, NA, NA, NA, NA, NA, NA, 1957, NA, NA, NA
Ralph Macchio (comics), 15, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Óscar Pinto, 1, Portuguese fencer, NA, 1962-04-20, 1962, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Santiago Segura, 1, NA, NA, 1965-07-17, 1965, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sara Paretsky, 1, NA, NA, 1947-06-08, 1947, NA, NA, Jews, NA, NA, NA, NA, NA, Crime fiction, NA, NA
Sara Pichelli, 1, Comic artist, NA, NA, 1983, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sara Shepard, 6, Author, NA, 1977-04-08, 1977, NA, NA, NA, NA, NA, NA, NA, 2005, Thriller (genre) and Young-adult fiction and Mystery fiction, Pretty Little Liars, Brooklyn College and New York University
Sarat Chandra Chattopadhyay, 1, NA, NA, 1876-09-15, 1876, 1938-01-16, NA, Bengalis, Presidencies and provinces of British India, NA, NA, NA, 0019, Novelist, NA, NA
Saturn Girl, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Satyajit Ray, 4, NA, NA, 1921-05-02, 1921, 1992-04-23, 1992, Bengalis, Indian people, NA, NA, NA, 1950, NA, NA, University of Calcutta
Sax Rohmer, 1, NA, NA, 1883-02-15, 1883, 1959-06-01, NA, NA, NA, NA, NA, NA, 0020, NA, NA, NA
Scooter Braun, 1, American talent agent, NA, 1981-06-18 and 1981-07-08, 1981, NA, NA, NA, NA, NA, NA, NA, 2003, Pop music and Rhythm and blues and Hip hop music and Dance music, NA, NA
Scot Eaton, 3, Comic book artist, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Scott Adams, 8, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Scott Beatty, 4, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Scott Edelman, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Scott Fellows, 1, American television producer, NA, 1965-06-05 and 1965-09-28, 1965, NA, NA, NA, NA, NA, NA, NA, 1993, NA, NA, NA
Scott Hampton, 2, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Scott Kolins, 9, American illustrator, NA, NA, 1968, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Scott Lobdell, 51, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Scott M. Gimple, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Scott McDaniel, 8, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Scott Peterson, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Scott Shaw (artist), 6, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Scott Snyder, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Scott Spiegel, 1, American film director, NA, 1957-12-24, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sean Chen (artist), 5, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sean McKeever, 4, NA, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Sean O'Reilly, 2, NA, NA, 1974-11-26, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sean Phillips, 4, NA, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Sean Vanaman, 2, American computer games designer, NA, 1984-06-16, 1984, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sergio Aragonés, 2, NA, NA, 1937-09-06, 1937, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sergio Bonelli, 2, Italian comic writer, NA, 1932-12-02, 1932, 2011-09-26, 2011, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sergio Corbucci, 1, NA, NA, 1926-12-06, 1926, 1990-12-01, 1990, NA, NA, NA, NA, NA, NA, NA, NA, NA
Sergio Leone, 1, NA, NA, 1929-01-03, 1929, 1989-04-30, 1989, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Seth MacFarlane, 15, NA, NA, 1973-10-26, 1973, NA, NA, NA, NA, NA, NA, NA, 1995, NA, NA, Rhode Island School of Design
Seymour Kneitel, 1, American animator, NA, 1908-03-16, 1908, 1964-07-30, 1964, NA, NA, NA, NA, NA, NA, NA, NA, NA
Seymour Reit, 1, Writer cartoonist, NA, 1918-11-11, 1918, 2001-11-21, 2001, NA, NA, NA, NA, NA, NA, NA, Casper the Friendly Ghost, New York University
