Title, Number_of_characters, Gender, birthDate, birthYear, deathDate, deathYear, ethnicity, nationality, country, region, religion, activeYearsStartYear, genre, notableWork, almaMater 
Doug Wheatley, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Douglas Adams, 0, NA, 1952-03-11, NA, 2001-05-11, NA, NA, NA, NA, NA, NA, NA, NA, NA, St John's College Cambridge
Douglas Preston, 0, NA, 1956-05-20, NA, NA, NA, NA, NA, NA, NA, NA, NA, Non-fiction and Thriller (genre) and Adventure fiction and Techno-thriller, Aloysius Pendergast and The Monster of Florence: A True Story and Wyman Ford, Pomona College
Dr. Seuss, 0, NA, 1904-03-02, NA, 1991-09-24, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Duncan Fegredo, 0, NA, NA, NA, NA, NA, NA, British people, NA, NA, NA, NA, NA, NA, NA
Duncan Rouleau, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dupa, 0, NA, 1945-02-12, 1945, 2000-11-08, 2000, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dustin Nguyen (artist), 0, NA, NA, NA, NA, NA, NA, Vietnamese people, NA, NA, NA, NA, NA, NA, NA
Dwayne McDuffie, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
D. G. Chichester, 0, NA, 1964-08-22, 1964, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dale Eaglesham, 0, NA, NA, NA, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Dale Keown, 0, NA, NA, NA, NA, NA, NA, Canada, NA, NA, NA, NA, NA, NA, NA
Damion Scott, 0, NA, 1976-12-28, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Damon Albarn, 0, NA, 1968-03-23, NA, NA, NA, NA, NA, NA, NA, NA, 1988, Trip hop and World music and Britpop and Alternative rock and Alternative hip hop and Electronic music, NA, NA
Dan Abnett, 0, NA, 1965-10-12, NA, NA, NA, NA, NA, NA, NA, NA, 1988, NA, NA, NA
Dan Adkins, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Dan Aykroyd, 0, NA, 1952-07-01, NA, NA, NA, NA, NA, NA, NA, NA, NA, Musical theatre and Sketch comedy and Improvisational theatre, NA, NA
Dan Brereton, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Brown, 0, NA, 1964-06-22, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, Angels & Demons and Digital Fortress and Deception Point and The Lost Symbol and The Da Vinci Code and Inferno (Brown novel), Amherst College
Dan DeCarlo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan DiDio, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Fraga, 0, NA, 1973-06-19, 1973, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Green (artist), 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Dan Jurgens, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Mishkin, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Povenmire, 0, NA, 1963-09-18, 1963, NA, NA, NA, NA, NA, NA, NA, 1987, NA, NA, University of Southern California and University of South Alabama
Dan Raspler, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Schneider (TV producer), 0, NA, 1966-01-14, 1966, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, Harvard University
Dan Slott, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Spiegle, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Dan Vado, 0, NA, 1959-09-09, 1959, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Daniel Acuña, 0, NA, NA, NA, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
Daniel Lipman, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Daniel Way, 0, NA, 1974-12-27, 1974, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ed Hannigan, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed McGuinness, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ed Roth, 0, NA, 1932-03-04, NA, 2001-04-04, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eddy Barrows, 0, NA, NA, NA, NA, NA, NA, Brazilians, NA, NA, NA, NA, NA, NA, NA
Edgar Rice Burroughs, 0, NA, 1875-09-01, NA, 1950-03-19, NA, NA, NA, NA, NA, NA, 1911, Western (genre) and Fantasy and Adventure fiction and Lost World (genre) and Sword and planet and Planetary romance and Soft science fiction, Tarzan and Barsoom, NA
Edgar Wallace, 0, NA, 1875-04-01, 1875, 1932-02-10, 1932, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edith Pargeter, 0, NA, 1913-09-28, NA, 1995-10-14, NA, NA, NA, NA, NA, NA, NA, Czech language and Non-fiction and Historical fiction and Mystery fiction, Cadfael, NA
Edmond Hamilton, 0, NA, 1904-10-21, NA, 1977-02-01, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edogawa Ranpo, 0, NA, 1894-10-21, NA, 1965-07-28, NA, NA, Japanese people, NA, NA, NA, NA, Detective fiction, NA, NA
Eduardo Barreto, 0, NA, NA, NA, NA, NA, NA, Uruguayans, NA, NA, NA, NA, NA, NA, NA
Eduardo Risso, 0, NA, NA, NA, NA, NA, NA, Argentines, NA, NA, NA, NA, NA, NA, NA
Edward Allen Bernero, 0, NA, 1962-08-29, 1962, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Kitsis, 0, NA, 1971-02-04, 1971, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Neumeier, 0, NA, 1957-08-24, 1957, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Edward Stratemeyer, 0, NA, 1862-10-04, NA, 1930-05-10, NA, NA, Americans, NA, NA, NA, NA, NA, Bomba the Jungle Boy and Tom Swift and Nancy Drew and The Hardy Boys and Book series and Bobbsey Twins and The Colonial Series and The Dana Girls and Dave_Dashaway and Don Sturdy and Jack_Ranger and Rover Boys, NA
Edwin Torres (judge), 0, NA, 1931-01-07, NA, NA, NA, NA, Puerto Rico, NA, NA, NA, NA, NA, NA, NA
Eiichiro Oda, 0, NA, 1975-01-01, 1975, NA, NA, NA, NA, NA, NA, NA, 1992, NA, NA, NA
Eiji Tsuburaya, 0, NA, 1901-07-07, NA, 1970-01-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eleanor Updale, 0, NA, NA, 1953, NA, NA, NA, NA, NA, NA, NA, 2003, NA, Montmorency series, St Annes College Oxford and Queen Mary University of London
Elizabeth Gaskell, 0, NA, 1810-09-29, NA, 1865-11-12, NA, NA, NA, NA, NA, NA, 1848, NA, NA, NA
Elizabeth Hand, 0, NA, 1957-03-29, NA, NA, NA, NA, NA, NA, NA, NA, NA, Fantasy, NA, NA
Elizabeth Holloway Marston, 0, NA, 1893-02-20, 1893, 1993-03-27, 1993, NA, United States, NA, NA, NA, NA, NA, NA, NA
Elliot S. Maggin, 0, NA, NA, 1950, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Columbia University and Brandeis University and Postgraduate education and Undergraduate education
Elmer Wexler, 0, NA, 1918-08-14, 1918, 2007-10-03, 2007, NA, NA, NA, NA, NA, NA, NA, NA, NA
Elmore Leonard, 0, NA, 1925-10-11, NA, 2013-08-20, NA, NA, NA, NA, NA, NA, NA, Crime fiction and Western fiction and Pulp magazine, NA, University of Detroit Mercy
Emilio Salgari, 0, NA, 1862-08-21, NA, 1911-04-25, NA, NA, Italians, NA, NA, NA, NA, Science fiction and Historical fiction and Adventure fiction and Western fiction, Sandokan and The Black Corsair, NA
Emily Brontë, 0, NA, 1818-07-30, NA, 1848-12-19, NA, NA, NA, NA, NA, NA, NA, NA, Wuthering Heights, NA
Emma Ríos, 0, NA, 1976-04-04, 1976, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Emmanuelle Arsan, 0, NA, 1932-01-19, NA, 2005-06-12, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Enid Blyton, 0, NA, 1897-08-11, NA, 1968-11-28, NA, NA, NA, NA, NA, NA, 1922, Childrens literature and Fantasy and Mystery fiction and Adventure, The Famous Five (series) and The Secret Seven and Noddy (character), NA
Eoin Colfer, 0, NA, 1965-05-14, NA, NA, NA, NA, Irish people, NA, NA, NA, 1998, Science fiction and Childrens literature and Adventure fiction, Artemis Fowl (series), NA
E.J. Altbacker, 0, NA, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA
E. C. Segar, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
E. Nelson Bridwell, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
E. Nesbit, 0, NA, 1858-08-15, NA, 1924-05-04, NA, NA, NA, NA, NA, NA, 1886, NA, NA, NA
Earl Derr Biggers, 0, NA, 1884-08-26, NA, 1933-04-05, NA, NA, NA, NA, NA, NA, NA, Fiction and Theatre, NA, NA
Earl Duvall, 0, NA, 1898-04-02, 1898, 1969-01-07, 1969, NA, NA, NA, NA, NA, NA, NA, NA, NA
Earl Mac Rauch, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Dartmouth College
Ed. Weinberger, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Benedict, 0, NA, 1912-08-23, 1912, 2006-08-28, 2006, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Benes, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ed Brubaker, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Goldberg (animator), 0, NA, 1955-05-01, 1955, NA, NA, NA, NA, NA, NA, Jews, NA, NA, NA, NA
Eric Knight, 0, NA, 1897-04-10, NA, 1943-01-15, NA, NA, NA, NA, NA, NA, 1934, NA, Lassie Come-Home and This Above All, NA
Eric Kripke, 0, NA, 1974-04-24, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Larson, 0, NA, 1905-09-03, 1905, 1988-10-25, 1988, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Luke, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Eric Powell (comics), 0, NA, 1975-03-08, 1975, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Erica Messer, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Erik Balling, 0, NA, 1924-11-29, 1924, 2005-11-19, 2005, NA, NA, NA, NA, NA, 1952, NA, NA, NA
Erik Larsen, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Ernest Hart, 0, NA, 1902-01-03, 1902, 1954-07-21, 1954, NA, NA, NA, NA, NA, NA, NA, NA, NA
Ernest Tidyman, 0, NA, 1928-01-01, NA, 1984-07-14, NA, NA, NA, NA, NA, NA, NA, NA, The French Connection (film) and Shaft (novel), NA
Ernie Chan, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Ernie Colón, 0, NA, NA, NA, NA, NA, NA, Puerto Ricans, NA, NA, NA, NA, NA, NA, NA
Ernie Hart, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Esad Ribić, 0, NA, 1972-11-10, 1972, NA, NA, NA, Croats, NA, NA, NA, NA, NA, NA, NA
Ethan Van Sciver, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Francine Pascal, 0, NA, 1938-05-13, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Sweet Valley High, New York University
Francis Durbridge, 0, NA, 1912-11-25, 1912, 1998-04-11, 1998, NA, NA, NA, NA, NA, 1933, NA, NA, University of Birmingham
Francis Ford Coppola, 0, NA, 1939-04-07, 1939, NA, NA, NA, NA, NA, NA, NA, 1962, NA, NA, Hofstra University and UCLA School of Theater Film and Television
Francis Manapul, 0, NA, NA, NA, NA, NA, NA, Filipino Canadians, NA, NA, NA, NA, NA, NA, NA
Francisco Coching, 0, NA, 1919-01-29, 1919, 1998-09-01, 1998, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Borth, 0, NA, 1918-04-01, 1918, 2009-08-09, 2009, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Brunner, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Darabont, 0, NA, 1959-01-28, 1959, NA, NA, NA, NA, NA, NA, NA, 1981, NA, NA, NA
Frank Frazetta, 0, NA, 1928-02-09, NA, 2010-05-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Giacoia, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Hampson, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Herbert, 0, NA, 1920-10-08, NA, 1986-02-11, NA, NA, NA, NA, NA, NA, 1945, NA, NA, NA
Frank Lupo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank McLaughlin (artist), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Miller (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Oz, 0, NA, 1944-05-25, 1944, NA, NA, NA, NA, NA, NA, NA, 1960, NA, NA, Laney College
Frank Quitely, 0, NA, NA, NA, NA, NA, NA, Scottish people, NA, NA, NA, NA, NA, NA, NA
Frank Robbins, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank S. Pepper, 0, NA, 1910-02-08, 1910, 1988-12-11, 1988, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Springer, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Frank Tashlin, 0, NA, 1913-02-19, 1913, 1972-05-05, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Thomas (animator), 0, NA, 1912-09-05, 1912, 2004-09-08, 2004, NA, NA, NA, NA, NA, NA, NA, NA, NA
Frank Thomas (comics), 0, NA, NA, 1914, NA, 1968, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frank Tieri (writer), 0, NA, 1970-12-01, 1970, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frazer Irving, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Guardineer, 0, NA, 1913-10-03, 1913, 2002-09-13, 2002, NA, United States, NA, NA, NA, NA, NA, NA, NA
Fred Kida, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Moore (animator), 0, NA, 1911-09-07, 1911, 1952-11-23, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fred Van Lente, 0, NA, 1972-02-14, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Freddie Williams II, 0, NA, 1977-05-30, 1977, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Frederick Forsyth, 0, NA, 1938-08-25, NA, NA, NA, NA, NA, NA, NA, NA, 1969, Crime fiction and Thriller (genre), The Day of the Jackal, NA
Frederick Kohner, 0, NA, 1905-09-25, NA, 1986-07-07, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Fritz Lang, 0, NA, 1890-12-05, 1890, 1976-08-02, 1976, NA, NA, NA, NA, NA, 1919, NA, NA, NA
Fritz Leiber, 0, NA, 1910-12-24, NA, 1992-09-05, NA, NA, NA, NA, NA, NA, 1934, Horror fiction and Science fiction and Fantasy, Fafhrd and the Gray Mouser, NA
Friz Freleng, 0, NA, 1906-08-21, 1906, 1995-05-26, 1995, NA, NA, NA, NA, Judaism, 1927, NA, NA, NA
Fujiko Fujio, 0, NA, 1933-12-01 and 1934-03-10, 1934 and 1933, 1996-09-23, 1996, NA, NA, NA, NA, NA, 1951, NA, NA, NA
F. Scott Fitzgerald, 0, NA, 1896-09-24, NA, 1940-12-21, NA, NA, NA, NA, NA, NA, 1920, NA, NA, NA
Fabian Nicieza, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Farooq Qaiser, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Felix Salten, 0, NA, 1869-09-06, NA, 1945-10-08, NA, NA, NA, NA, NA, NA, NA, NA, Bambi a Life in the Woods and Bambis Children, NA
Fernando Pasarin, 0, NA, NA, NA, NA, NA, NA, Spain, NA, NA, NA, NA, NA, NA, NA
Fiona Avery, 0, NA, 1974-09-13, 1974, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fletcher Hanks, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Flip Wilson, 0, NA, 1933-12-08, NA, 1998-11-25, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Floyd Gottfredson, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Foz Allan, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fran Striker, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Fran Walsh, 0, NA, 1959-01-10, 1959, NA, NA, NA, NA, NA, NA, NA, 1983, NA, NA, NA
France Herron, 0, NA, NA, 1918, NA, 1966, NA, United States, NA, NA, NA, NA, NA, NA, NA
Francesca Simon, 0, NA, 1955-02-23, NA, NA, NA, NA, NA, NA, NA, NA, NA, Children's literature, Horrid Henry, NA
Gary David Goldberg, 0, NA, 1944-06-25, 1944, 2013-06-22, 2013, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Frank, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Friedrich, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary K. Wolf, 0, NA, 1941-01-24, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Scott Thompson, 0, NA, 1959-10-07, 1959, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gaston Leroux, 0, NA, 1868-05-06, NA, 1927-04-15, NA, NA, France, NA, NA, NA, NA, NA, The Phantom of the Opera, NA
Gen Urobuchi, 0, NA, 1972-12-20, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Saya no Uta and Fate/Zero and Psycho-Pass and Kamen Rider Gaim and Puella Magi Madoka Magica, NA
Gene Colan, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Gene Day, 0, NA, NA, NA, NA, NA, NA, Canadians, NA, NA, NA, NA, NA, NA, NA
Gene Ha, 0, NA, NA, NA, NA, NA, NA, Americans, NA, NA, NA, NA, NA, NA, NA
Gene L. Coon, 0, NA, 1924-01-07, NA, 1973-07-08, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gene Roddenberry, 0, NA, 1921-08-19, 1921, 1991-10-24, 1991, NA, NA, NA, NA, NA, NA, NA, NA, Los Angeles City College
Genndy Tartakovsky, 0, NA, 1970-01-17, 1970, NA, NA, NA, NA, NA, NA, NA, 1991, NA, NA, NA
Geof Isherwood, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Geoff Johns, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Geoff Senior, 0, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Geoffrey of Monmouth, 0, NA, NA, 1100, NA, 1155, NA, NA, NA, NA, Catholic Church, NA, NA, NA, NA
George Baker (cartoonist), 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
George Brenner, 0, NA, NA, 1913, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Clayton Johnson, 0, NA, 1929-07-10, NA, 2015-12-25, NA, NA, NA, NA, NA, NA, NA, NA, The Twilight Zone and Oceans 11 and Logans Run and Star Trek, NA
George Eliot, 0, NA, 1819-11-22, NA, 1880-12-22, NA, NA, NA, NA, NA, NA, NA, NA, Middlemarch and Daniel Deronda and The Mill on the Floss and Silas Marner, NA
George Evans (cartoonist), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Gladir, 0, NA, 1925-09-27, 1925, 2013-04-03, 2013, NA, United States, NA, NA, NA, NA, NA, NA, NA
George Kapitan, 0, NA, 1919-07-23, 1919, 1996-11-27, 1996, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Kashdan, 0, NA, 1928-05-17, 1928, 2006-06-03, 2006, NA, Americans, NA, NA, NA, NA, NA, NA, NA
George Klein (comics), 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Lucas, 0, NA, 1944-05-14, 1944, NA, NA, NA, NA, NA, NA, NA, 1965, NA, NA, NA
George Mandel, 0, NA, 1920-02-11, 1920, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Miller (director), 0, NA, 1945-03-03, 1945, NA, NA, Greeks, NA, NA, NA, NA, 1970, NA, NA, University of New South Wales
George Orwell, 0, NA, 1903-06-25, NA, 1950-01-21, NA, NA, NA, NA, NA, NA, NA, Dystopia and Roman à clef, NA, Eton College
George Papp, 0, NA, 1916-01-20, 1916, 1989-08-08, 1989, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Pelecanos, 0, NA, 1957-02-18, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George Pérez, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George R. R. Martin, 0, NA, 1948-09-20, NA, NA, NA, NA, NA, NA, NA, NA, NA, Horror fiction and Science fiction and Fantasy, A Song of Ice and Fire, NA
George Tuska, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
George W. Trendle, 0, NA, 1884-07-04, 1884, 1972-05-10, 1972, NA, NA, NA, NA, NA, NA, NA, NA, NA
Georges Simenon, 0, NA, 1903-02-13, NA, 1989-09-04, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerard Jones, 0, NA, 1957-07-10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerry Anderson, 0, NA, 1929-04-14, 1929, 2012-12-26, 2012, NA, NA, NA, NA, NA, 1957, NA, NA, NA
Gerry Conway, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gerry Duggan, 0, NA, NA, 1910, 1992-03-27, 1992, NA, NA, NA, NA, NA, 1959, NA, NA, NA
Gian Luigi Bonelli, 0, NA, 1908-12-22, 1908, 2001-01-12, 2001, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gil Kane, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gilbert Lawford Dalton, 0, NA, NA, 1904, NA, 1963, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
Gilda Radner, 0, NA, 1946-06-28, 1946, 1989-05-20, 1989, NA, NA, NA, NA, NA, 1973, NA, NA, University of Michigan
Gina Riley, 0, NA, 1961-05-06, 1961, NA, NA, NA, NA, NA, NA, NA, 1984, NA, NA, NA
G. Willow Wilson, 0, NA, 1982-08-31, 1982, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gabriel Morrissette, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gail Simone, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Gale Anne Hurd, 0, NA, 1955-10-25, 1955, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gallieno Ferri, 0, NA, 1929-03-21, 1929, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Garci Rodríguez de Montalvo, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, Chivalric romance and Fiction, NA, NA
Gardner Fox, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gareth Edwards (director), 0, NA, NA, 1975, NA, NA, NA, NA, NA, NA, NA, 2002, NA, NA, NA
Garry Marshall, 0, NA, 1934-11-13, 1934, NA, NA, NA, NA, NA, NA, NA, 1959, NA, NA, Northwestern University
Garth Ennis, 0, NA, NA, NA, NA, NA, NA, People of Northern Ireland, NA, NA, NA, NA, NA, NA, NA
Garth Ranzz, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Gary Carlson, 0, NA, NA, NA, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Gary Cohn (comics), 0, NA, 1952-01-25, 1952, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glen A. Larson, 0, NA, 1937-01-03, 1937, 2014-11-14, 2014, NA, NA, NA, NA, The Church of Jesus Christ of Latter-day Saints, NA, NA, NA, NA
Glen Keane, 0, NA, 1954-04-13, 1954, NA, NA, NA, NA, NA, NA, NA, 1973, NA, NA, NA
Glen Mazzara, 0, NA, 1967-07-06, 1967, NA, NA, NA, United States, NA, NA, NA, 1998, NA, NA, NA
Glen Morgan, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glen and Les Charles, 0, NA, 1943-02-18, 1943, NA, NA, NA, United States, NA, NA, NA, NA, NA, NA, NA
Glenn Chandler, 0, NA, 1949-03-12, 1949, NA, NA, NA, NA, NA, NA, NA, NA, Crime fiction, Taggart, NA
Glenn Dakin, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glenn Eichler, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1985, NA, NA, NA
Glenn Fabry, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glenn Greenberg, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glenn Howerton, 0, NA, 1976-04-13, 1976, NA, NA, NA, NA, NA, NA, NA, 1997, NA, NA, NA
Glenn Kessler (screenwriter), 0, NA, 1970-04-06, 1970, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Glória Perez, 0, NA, 1948-09-25, 1948, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Go Nagai, 0, NA, 1945-09-06, 1945, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Goran Parlov, 0, NA, 1967-03-14, 1967, NA, NA, NA, Croats, NA, NA, NA, NA, NA, NA, NA
Gosho Aoyama, 0, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Graham Dury, 0, NA, NA, NA, NA, NA, NA, United Kingdom, NA, NA, NA, NA, NA, NA, NA
